name,symbol,description,chromosome,color
2100,ESR2,estrogen receptor 2 (ER beta),14,"rgb(251,128,114)"
2101,ESRRA,estrogen-related receptor alpha,11,"rgb(190,186,218)"
2104,ESRRG,estrogen-related receptor gamma,1,"rgb(141,211,199)"
2130,EWSR1,EWS RNA-binding protein 1,22,"rgb(253,180,98)"
2151,F2RL2,coagulation factor II (thrombin) receptor-like 2,5,"rgb(255,255,179)"
2175,FANCA,"Fanconi anemia, complementation group A",16,"rgb(251,128,114)"
2185,PTK2B,protein tyrosine kinase 2 beta,8,"rgb(255,255,179)"
2203,FBP1,"fructose-1,6-bisphosphatase 1",9,"rgb(190,186,218)"
2213,FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor (CD32)",1,"rgb(141,211,199)"
2268,FGR,"FGR proto-oncogene, Src family tyrosine kinase",1,"rgb(141,211,199)"
2308,FOXO1,forkhead box O1,13,"rgb(251,128,114)"
2316,FLNA,"filamin A, alpha",X,"rgb(253,180,98)"
2332,FMR1,fragile X mental retardation 1,X,"rgb(253,180,98)"
2335,FN1,fibronectin 1,2,"rgb(141,211,199)"
2353,FOS,FBJ murine osteosarcoma viral oncogene homolog,14,"rgb(251,128,114)"
2494,NR5A2,"nuclear receptor subfamily 5, group A, member 2",1,"rgb(141,211,199)"
2495,FTH1,"ferritin, heavy polypeptide 1",11,"rgb(190,186,218)"
2534,FYN,"FYN proto-oncogene, Src family tyrosine kinase",6,"rgb(255,255,179)"
2547,XRCC6,X-ray repair complementing defective repair in Chinese hamster cells 6,22,"rgb(253,180,98)"
2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,12,"rgb(190,186,218)"
2617,GARS,glycyl-tRNA synthetase,7,"rgb(255,255,179)"
2670,GFAP,glial fibrillary acidic protein,17,"rgb(128,177,211)"
2690,GHR,growth hormone receptor,5,"rgb(255,255,179)"
2697,GJA1,"gap junction protein, alpha 1, 43kDa",6,"rgb(255,255,179)"
2934,GSN,gelsolin,9,"rgb(190,186,218)"
2976,GTF3C2,"general transcription factor IIIC, polypeptide 2, beta 110kDa",2,"rgb(141,211,199)"
3014,H2AFX,"H2A histone family, member X",11,"rgb(190,186,218)"
3065,HDAC1,histone deacetylase 1,1,"rgb(141,211,199)"
3188,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2 (H'),X,"rgb(253,180,98)"
3191,HNRNPL,heterogeneous nuclear ribonucleoprotein L,19,"rgb(128,177,211)"
3312,HSPA8,heat shock 70kDa protein 8,11,"rgb(190,186,218)"
3320,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",14,"rgb(251,128,114)"
3912,LAMB1,"laminin, beta 1",7,"rgb(255,255,179)"
4089,SMAD4,SMAD family member 4,18,"rgb(128,177,211)"
4193,MDM2,"MDM2 proto-oncogene, E3 ubiquitin protein ligase",12,"rgb(190,186,218)"
4288,MKI67,marker of proliferation Ki-67,10,"rgb(190,186,218)"
4298,MLLT1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1",19,"rgb(128,177,211)"
4331,MNAT1,MNAT CDK-activating kinase assembly factor 1,14,"rgb(251,128,114)"
4622,MYH4,"myosin, heavy chain 4, skeletal muscle",17,"rgb(128,177,211)"
4625,MYH7,"myosin, heavy chain 7, cardiac muscle, beta",14,"rgb(251,128,114)"
4637,MYL6,"myosin, light chain 6, alkali, smooth muscle and non-muscle",12,"rgb(190,186,218)"
4641,MYO1C,myosin IC,17,"rgb(128,177,211)"
4642,MYO1D,myosin ID,17,"rgb(128,177,211)"
4736,RPL10A,ribosomal protein L10a,6,"rgb(255,255,179)"
4744,NEFH,"neurofilament, heavy polypeptide",22,"rgb(253,180,98)"
4878,NPPA,natriuretic peptide A,1,"rgb(141,211,199)"
5216,PFN1,profilin 1,17,"rgb(128,177,211)"
5295,PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",5,"rgb(255,255,179)"
5304,PIP,prolactin-induced protein,7,"rgb(255,255,179)"
5335,PLCG1,"phospholipase C, gamma 1",20,"rgb(128,177,211)"
5394,EXOSC10,exosome component 10,1,"rgb(141,211,199)"
5469,MED1,mediator complex subunit 1,17,"rgb(128,177,211)"
5594,MAPK1,mitogen-activated protein kinase 1,22,"rgb(253,180,98)"
5705,PSMC5,"proteasome (prosome, macropain) 26S subunit, ATPase, 5",17,"rgb(128,177,211)"
5718,PSMD12,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12",17,"rgb(128,177,211)"
5813,PURA,purine-rich element binding protein A,5,"rgb(255,255,179)"
5814,PURB,purine-rich element binding protein B,7,"rgb(255,255,179)"
5981,RFC1,"replication factor C (activator 1) 1, 145kDa",4,"rgb(141,211,199)"
5982,RFC2,"replication factor C (activator 1) 2, 40kDa",7,"rgb(255,255,179)"
5984,RFC4,"replication factor C (activator 1) 4, 37kDa",3,"rgb(141,211,199)"
5992,RFX4,"regulatory factor X, 4 (influences HLA class II expression)",12,"rgb(190,186,218)"
6129,RPL7,ribosomal protein L7,8,"rgb(255,255,179)"
6130,RPL7A,ribosomal protein L7a,9,"rgb(190,186,218)"
6139,RPL17,ribosomal protein L17,18,"rgb(128,177,211)"
6146,RPL22,ribosomal protein L22,1,"rgb(141,211,199)"
6159,RPL29,ribosomal protein L29,3,"rgb(141,211,199)"
6166,RPL36AL,ribosomal protein L36a-like,14,"rgb(251,128,114)"
6175,RPLP0,"ribosomal protein, large, P0",12,"rgb(190,186,218)"
6188,RPS3,ribosomal protein S3,11,"rgb(190,186,218)"
6191,RPS4X,"ribosomal protein S4, X-linked",X,"rgb(253,180,98)"
6195,RPS6KA1,"ribosomal protein S6 kinase, 90kDa, polypeptide 1",1,"rgb(141,211,199)"
6197,RPS6KA3,"ribosomal protein S6 kinase, 90kDa, polypeptide 3",X,"rgb(253,180,98)"
6203,RPS9,ribosomal protein S9,19,"rgb(128,177,211)"
6205,RPS11,ribosomal protein S11,19,"rgb(128,177,211)"
6207,RPS13,ribosomal protein S13,11,"rgb(190,186,218)"
6217,RPS16,ribosomal protein S16,19,"rgb(128,177,211)"
6222,RPS18,ribosomal protein S18,6,"rgb(255,255,179)"
6230,RPS25,ribosomal protein S25,11,"rgb(190,186,218)"
6231,RPS26,ribosomal protein S26,12,"rgb(190,186,218)"
6233,RPS27A,ribosomal protein S27a,2,"rgb(141,211,199)"
6282,S100A11,S100 calcium binding protein A11,1,"rgb(141,211,199)"
6407,SEMG2,semenogelin II,20,"rgb(128,177,211)"
6597,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",19,"rgb(128,177,211)"
6667,SP1,Sp1 transcription factor,12,"rgb(190,186,218)"
6712,SPTBN2,"spectrin, beta, non-erythrocytic 2",11,"rgb(190,186,218)"
6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",20,"rgb(128,177,211)"
6780,STAU1,staufen double-stranded RNA binding protein 1,20,"rgb(128,177,211)"
6829,SUPT5H,suppressor of Ty 5 homolog (S. cerevisiae),19,"rgb(128,177,211)"
6838,SURF6,surfeit 6,9,"rgb(190,186,218)"
7083,TK1,"thymidine kinase 1, soluble",17,"rgb(128,177,211)"
7178,TPT1,"tumor protein, translationally-controlled 1",13,"rgb(251,128,114)"
7276,TTR,transthyretin,18,"rgb(128,177,211)"
7323,UBE2D3,ubiquitin-conjugating enzyme E2D 3,4,"rgb(141,211,199)"
7965,AIMP2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2,7,"rgb(255,255,179)"
8161,COIL,coilin,17,"rgb(128,177,211)"
8202,NCOA3,nuclear receptor coactivator 3,20,"rgb(128,177,211)"
8204,NRIP1,nuclear receptor interacting protein 1,21,"rgb(253,180,98)"
8241,RBM10,RNA binding motif protein 10,X,"rgb(253,180,98)"
8431,NR0B2,"nuclear receptor subfamily 0, group B, member 2",1,"rgb(141,211,199)"
8467,SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",4,"rgb(141,211,199)"
8568,RRP1,ribosomal RNA processing 1,21,"rgb(253,180,98)"
8648,NCOA1,nuclear receptor coactivator 1,2,"rgb(141,211,199)"
8668,EIF3I,"eukaryotic translation initiation factor 3, subunit I",1,"rgb(141,211,199)"
8735,MYH13,"myosin, heavy chain 13, skeletal muscle",17,"rgb(128,177,211)"
8805,TRIM24,tripartite motif containing 24,7,"rgb(255,255,179)"
8945,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,10,"rgb(190,186,218)"
9221,NOLC1,nucleolar and coiled-body phosphoprotein 1,10,"rgb(190,186,218)"
9328,GTF3C5,"general transcription factor IIIC, polypeptide 5, 63kDa",9,"rgb(190,186,218)"
9329,GTF3C4,"general transcription factor IIIC, polypeptide 4, 90kDa",9,"rgb(190,186,218)"
9330,GTF3C3,"general transcription factor IIIC, polypeptide 3, 102kDa",2,"rgb(141,211,199)"
9343,EFTUD2,elongation factor Tu GTP binding domain containing 2,17,"rgb(128,177,211)"
9349,RPL23,ribosomal protein L23,17,"rgb(128,177,211)"
9440,MED17,mediator complex subunit 17,11,"rgb(190,186,218)"
9513,FXR2,"fragile X mental retardation, autosomal homolog 2",17,"rgb(128,177,211)"
9612,NCOR2,nuclear receptor corepressor 2,12,"rgb(190,186,218)"
9648,GCC2,GRIP and coiled-coil domain containing 2,2,"rgb(141,211,199)"
9699,RIMS2,regulating synaptic membrane exocytosis 2,8,"rgb(255,255,179)"
9774,BCLAF1,BCL2-associated transcription factor 1,6,"rgb(255,255,179)"
9883,POM121,POM121 transmembrane nucleoporin,7,"rgb(255,255,179)"
10073,SNUPN,snurportin 1,15,"rgb(251,128,114)"
10095,ARPC1B,"actin related protein 2/3 complex, subunit 1B, 41kDa",7,"rgb(255,255,179)"
10270,AKAP8,A kinase (PRKA) anchor protein 8,19,"rgb(128,177,211)"
10432,RBM14,RNA binding motif protein 14,11,"rgb(190,186,218)"
10499,NCOA2,nuclear receptor coactivator 2,8,"rgb(255,255,179)"
10514,MYBBP1A,MYB binding protein (P160) 1a,17,"rgb(128,177,211)"
10528,NOP56,NOP56 ribonucleoprotein,20,"rgb(128,177,211)"
10529,NEBL,nebulette,10,"rgb(190,186,218)"
10576,CCT2,"chaperonin containing TCP1, subunit 2 (beta)",12,"rgb(190,186,218)"
10891,PPARGC1A,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",4,"rgb(141,211,199)"
10957,PNRC1,proline-rich nuclear receptor coactivator 1,6,"rgb(255,255,179)"
11034,DSTN,destrin (actin depolymerizing factor),20,"rgb(128,177,211)"
11051,NUDT21,nudix (nucleoside diphosphate linked moiety X)-type motif 21,16,"rgb(251,128,114)"
11064,CNTRL,centriolin,9,"rgb(190,186,218)"
11137,PWP1,PWP1 homolog (S. cerevisiae),12,"rgb(190,186,218)"
11177,BAZ1A,"bromodomain adjacent to zinc finger domain, 1A",14,"rgb(251,128,114)"
11187,PKP3,plakophilin 3,11,"rgb(190,186,218)"
23054,NCOA6,nuclear receptor coactivator 6,20,"rgb(128,177,211)"
23076,RRP1B,ribosomal RNA processing 1B,21,"rgb(253,180,98)"
23082,PPRC1,"peroxisome proliferator-activated receptor gamma, coactivator-related 1",10,"rgb(190,186,218)"
23223,RRP12,ribosomal RNA processing 12 homolog (S. cerevisiae),10,"rgb(190,186,218)"
23524,SRRM2,serine/arginine repetitive matrix 2,16,"rgb(251,128,114)"
25930,PTPN23,"protein tyrosine phosphatase, non-receptor type 23",3,"rgb(141,211,199)"
25959,KANK2,KN motif and ankyrin repeat domains 2,19,"rgb(128,177,211)"
26168,SENP3,SUMO1/sentrin/SMT3 specific peptidase 3,17,"rgb(128,177,211)"
26354,GNL3,guanine nucleotide binding protein-like 3 (nucleolar),3,"rgb(141,211,199)"
27043,PELP1,"proline, glutamate and leucine rich protein 1",17,"rgb(128,177,211)"
27072,VPS41,vacuolar protein sorting 41 homolog (S. cerevisiae),7,"rgb(255,255,179)"
27332,ZNF638,zinc finger protein 638,2,"rgb(141,211,199)"
29079,MED4,mediator complex subunit 4,13,"rgb(251,128,114)"
29855,UBN1,ubinuclein 1,16,"rgb(251,128,114)"
51065,RPS27L,ribosomal protein S27-like,15,"rgb(251,128,114)"
51474,LIMA1,LIM domain and actin binding 1,12,"rgb(190,186,218)"
51490,C9orf114,chromosome 9 open reading frame 114,9,"rgb(190,186,218)"
51503,CWC15,CWC15 spliceosome-associated protein,11,"rgb(190,186,218)"
51663,ZFR,zinc finger RNA binding protein,5,"rgb(255,255,179)"
54512,EXOSC4,exosome component 4,8,"rgb(255,255,179)"
55037,PTCD3,pentatricopeptide repeat domain 3,2,"rgb(141,211,199)"
55131,RBM28,RNA binding motif protein 28,7,"rgb(255,255,179)"
55226,NAT10,N-acetyltransferase 10 (GCN5-related),11,"rgb(190,186,218)"
55333,SYNJ2BP,synaptojanin 2 binding protein,14,"rgb(251,128,114)"
55379,LRRC59,leucine rich repeat containing 59,17,"rgb(128,177,211)"
55629,PNRC2,proline-rich nuclear receptor coactivator 2,1,"rgb(141,211,199)"
55729,ATF7IP,activating transcription factor 7 interacting protein,12,"rgb(190,186,218)"
55922,NKRF,NFKB repressing factor,X,"rgb(253,180,98)"
55971,BAIAP2L1,BAI1-associated protein 2-like 1,7,"rgb(255,255,179)"
56164,STK31,serine/threonine kinase 31,7,"rgb(255,255,179)"
56829,ZC3HAV1,"zinc finger CCCH-type, antiviral 1",7,"rgb(255,255,179)"
56945,MRPS22,mitochondrial ribosomal protein S22,3,"rgb(141,211,199)"
57418,WDR18,WD repeat domain 18,19,"rgb(128,177,211)"
57473,ZNF512B,zinc finger protein 512B,20,"rgb(128,177,211)"
57530,CGN,cingulin,1,"rgb(141,211,199)"
57619,SHROOM3,shroom family member 3,4,"rgb(141,211,199)"
57644,MYH7B,"myosin, heavy chain 7B, cardiac muscle, beta",20,"rgb(128,177,211)"
58513,EPS15L1,epidermal growth factor receptor pathway substrate 15-like 1,19,"rgb(128,177,211)"
64425,POLR1E,"polymerase (RNA) I polypeptide E, 53kDa",9,"rgb(190,186,218)"
64960,MRPS15,mitochondrial ribosomal protein S15,1,"rgb(141,211,199)"
65266,WNK4,WNK lysine deficient protein kinase 4,17,"rgb(128,177,211)"
79009,DDX50,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,10,"rgb(190,186,218)"
79784,MYH14,"myosin, heavy chain 14, non-muscle",19,"rgb(128,177,211)"
79809,TTC21B,tetratricopeptide repeat domain 21B,2,"rgb(141,211,199)"
80829,ZFP91,ZFP91 zinc finger protein,11,"rgb(190,186,218)"
81631,MAP1LC3B,microtubule-associated protein 1 light chain 3 beta,16,"rgb(251,128,114)"
81887,LAS1L,LAS1-like (S. cerevisiae),X,"rgb(253,180,98)"
83939,EIF2A,"eukaryotic translation initiation factor 2A, 65kDa",3,"rgb(141,211,199)"
85366,MYLK2,myosin light chain kinase 2,20,"rgb(128,177,211)"
90850,ZNF598,zinc finger protein 598,16,"rgb(251,128,114)"
91748,ELMSAN1,ELM2 and Myb/SANT-like domain containing 1,14,"rgb(251,128,114)"
114294,LACTB,"lactamase, beta",15,"rgb(251,128,114)"
117246,FTSJ3,FtsJ homolog 3 (E. coli),17,"rgb(128,177,211)"
124245,ZC3H18,zinc finger CCCH-type containing 18,16,"rgb(251,128,114)"
130507,UBR3,ubiquitin protein ligase E3 component n-recognin 3 (putative),2,"rgb(141,211,199)"
135112,NCOA7,nuclear receptor coactivator 7,6,"rgb(255,255,179)"
220164,DOK6,docking protein 6,18,"rgb(128,177,211)"
